population,income,popwhite,popblack,homeval,rentval,district,statefull,abbr,label,pvi,Winner12,Margin12,Romney12,Obama12,Winner08,Margin08,McCain08,Obama08,gopvi,sqrmiles,density,whitevote
711166,69082,549358,20766.0,149021,1498,49,California,CA,CA-49,R+4,Romney,-7,52,46,Obama,-1,49,50,4,553.08,1285,0.7724750620811456
724530,59303,583668,17620.0,146291,1205,50,California,CA,CA-50,R+14,Romney,-23,60,38,McCain,-19,59,40,14,2787.35,259,0.8055815494182436
726668,40686,465974,53603.0,84786,966,51,California,CA,CA-51,D+16,Obama,-41,29,69,Obama,-34,32,66,-16,4791.61,151,0.6412474472523904
711274,81752,495153,21895.0,145756,1579,52,California,CA,CA-52,D+2,Obama,-6,46,52,Obama,-12,43,55,-2,267.0,2663,0.6961494445178651
731722,60851,483767,56146.0,130155,1223,53,California,CA,CA-53,D+10,Obama,-25,36,61,Obama,-25,37,62,-10,135.43,5402,0.6611349665583377
754294,52776,580583,65193.0,166515,897,1,Colorado,CO,CO-1,D+18,Obama,-40,29,69,Obama,-43,28,71,-18,189.62,3977,0.7697038555258294
742337,66630,672797,6197.0,197092,1081,2,Colorado,CO,CO-2,D+8,Obama,-18,40,58,Obama,-24,37,61,-8,7535.34,98,0.9063228695323013
722813,47443,633080,7778.0,192658,845,3,Colorado,CO,CO-3,R+5,Romney,-6,52,46,McCain,-2,50,49,5,49731.77,14,0.8758558576007902
736505,62156,652521,9796.0,189084,905,4,Colorado,CO,CO-4,R+11,Romney,-19,59,39,McCain,-14,56,42,11,38102.67,19,0.8859695453527131
741804,55288,611256,42033.0,178028,917,5,Colorado,CO,CO-5,R+13,Romney,-21,59,38,McCain,-19,59,40,13,7265.72,102,0.8240128120096414
752009,65508,570635,69209.0,177657,1046,6,Colorado,CO,CO-6,D+1,Obama,-5,47,52,Obama,-9,45,54,-1,474.66,1584,0.7588140567466612
742314,58115,648821,9679.0,179774,973,7,Colorado,CO,CO-7,D+5,Obama,-15,42,56,Obama,-17,41,57,-5,342.11,2169,0.8740519510611412
717888,64312,516027,106878.0,183005,969,1,Connecticut,CT,CT-1,D+13,Obama,-28,36,63,Obama,-33,33,66,-13,675.45,1062,0.7188126838726933
713819,69782,623788,27998.0,192854,974,2,Connecticut,CT,CT-2,D+5,Obama,-13,43,56,Obama,-18,40,59,-5,1987.68,359,0.8738741893953509
715715,61654,536852,96401.0,173067,1086,3,Connecticut,CT,CT-3,D+11,Obama,-26,36,63,Obama,-26,36,63,-11,470.34,1521,0.7500918661757823
728906,83755,535421,89787.0,171046,1310,4,Connecticut,CT,CT-4,D+5,Obama,-11,44,55,Obama,-20,40,60,-5,460.73,1582,0.7345542497935262
715936,65272,577494,46795.0,183127,956,5,Connecticut,CT,CT-5,D+3,Obama,-8,45,54,Obama,-14,42,56,-3,1248.16,573,0.8066279667456309
916929,59399,637141,197999.0,240771,989,1,Delaware,DE,DE-1,D+8,Obama,-19,40,59,Obama,-25,37,62,-8,1948.54,470,0.6948640516332235
718569,49263,557453,94587.0,178587,935,1,Florida,FL,FL-1,R+21,Romney,-39,69,30,McCain,-35,67,32,21,4016.3,178,0.775782144790549
706059,43286,490202,173707.0,162197,862,2,Florida,FL,FL-2,R+6,Romney,-6,52,47,McCain,-5,52,47,6,8613.58,81,0.694279089991063
702726,44168,557450,95092.0,174303,846,3,Florida,FL,FL-3,R+14,Romney,-24,62,38,McCain,-20,59,40,14,7306.05,96,0.7932679308862914
704855,54580,549972,91964.0,176077,997,4,Florida,FL,FL-4,R+19,Romney,-34,66,33,McCain,-26,66,34,19,1875.97,375,0.7802626072028999
714393,32887,275886,374444.0,130167,842,5,Florida,FL,FL-5,D+21,Obama,-47,26,73,Obama,-42,26,73,-21,1355.03,527,0.3861823954042103
715041,44433,604850,65893.0,201817,912,6,Florida,FL,FL-6,R+9,Romney,-16,58,41,McCain,-8,54,46,9,2506.92,285,0.845895550045382
712946,52442,576751,66594.0,169689,1044,7,Florida,FL,FL-7,R+4,Romney,-5,52,47,McCain,-1,50,49,4,513.58,1388,0.8089687016969027
702424,46113,589686,70419.0,205715,862,8,Florida,FL,FL-8,R+9,Romney,-15,57,42,McCain,-11,55,44,9,1752.06,400,0.8395014976709224
732130,43998,550606,81023.0,142371,1021,9,Florida,FL,FL-9,D+8,Obama,-24,38,61,Obama,-21,39,60,-8,1707.49,428,0.7520604264270007
733108,49293,558146,87388.0,184377,988,10,Florida,FL,FL-10,R+6,Romney,-8,54,46,McCain,-5,52,47,6,1129.32,649,0.7613421214882391
706874,40187,614560,62736.0,228895,818,11,Florida,FL,FL-11,R+11,Romney,-19,59,40,McCain,-13,56,43,11,2509.88,281,0.8694052971250887
704266,49013,625963,32542.0,204074,947,12,Florida,FL,FL-12,R+7,Romney,-9,54,45,McCain,-6,52,47,7,883.75,796,0.8888161575313873
699803,44691,607402,41031.0,201969,916,13,Florida,FL,FL-13,R+1,Obama,-2,49,50,Obama,-4,48,51,1,186.03,3761,0.8679614119973764
731358,39727,464746,190816.0,139059,903,14,Florida,FL,FL-14,D+13,Obama,-31,34,65,Obama,-31,34,65,-13,265.4,2755,0.6354562334725264
712107,49716,548167,97439.0,165467,905,15,Florida,FL,FL-15,R+6,Romney,-7,53,46,McCain,-7,53,46,6,818.51,870,0.7697817884110113
714258,47987,627878,47822.0,218281,952,16,Florida,FL,FL-16,R+6,Romney,-9,54,45,McCain,-3,51,48,6,875.33,815,0.8790633076563371
708299,42278,598203,65312.0,201567,803,17,Florida,FL,FL-17,R+10,Romney,-16,58,42,McCain,-13,56,43,10,6369.97,111,0.8445628188095705
701546,50253,565087,86425.0,204174,1058,18,Florida,FL,FL-18,R+3,Romney,-4,52,48,Obama,-3,48,51,3,1512.55,463,0.8054881647105108
719346,49433,618705,55012.0,196551,950,19,Florida,FL,FL-19,R+12,Romney,-22,61,39,McCain,-15,57,42,12,750.37,958,0.860093751824574
730623,36937,287766,392500.0,135880,999,20,Florida,FL,FL-20,D+29,Obama,-66,17,83,Obama,-63,19,81,-29,2427.42,300,0.3938638668643062
724001,54655,575008,88834.0,207826,1234,21,Florida,FL,FL-21,D+10,Obama,-22,39,61,Obama,-28,36,64,-10,260.97,2774,0.7942088477778345
710861,53139,579100,81532.0,193338,1167,22,Florida,FL,FL-22,D+3,Obama,-10,45,55,Obama,-14,43,57,-3,172.88,4111,0.8146459012380761
726348,51707,555758,79780.0,170978,1203,23,Florida,FL,FL-23,D+9,Obama,-24,38,62,Obama,-24,39,61,-9,169.1,4295,0.7651401256697892
714608,36946,275908,395112.0,114680,987,24,Florida,FL,FL-24,D+34,Obama,-75,12,88,Obama,-73,14,86,-34,106.08,6736,0.38609699303674183
725733,47114,626000,55851.0,138318,1136,25,Florida,FL,FL-25,R+5,Romney,-2,51,49,McCain,-10,52,47,5,3232.71,224,0.8625761815984666
730196,50634,620534,72388.0,147051,1214,26,Florida,FL,FL-26,R+1,Obama,-7,46,53,Obama,-1,49,50,1,2098.66,347,0.8498184049214184
716553,41063,624316,57200.0,121729,1013,27,Florida,FL,FL-27,R+2,Obama,-7,47,53,McCain,-2,51,49,2,208.84,3431,0.871276793203015
712954,45074,455893,210164.0,157343,867,1,Georgia,GA,GA-1,R+9,Romney,-13,56,43,McCain,-11,55,44,9,7982.81,89,0.6394423763664977
696833,33333,303459,355846.0,141602,677,2,Georgia,GA,GA-2,D+6,Obama,-18,41,59,Obama,-16,42,58,-6,9626.23,72,0.4354831071433184
701967,51959,496390,167600.0,173114,855,3,Georgia,GA,GA-3,R+19,Romney,-33,66,33,McCain,-30,65,34,19,3838.27,182,0.7071415038028853
713474,48335,218193,417063.0,152788,919,4,Georgia,GA,GA-4,D+21,Obama,-48,26,74,Obama,-45,27,73,-21,496.6,1436,0.30581773126981504
718037,42282,239614,419271.0,126428,924,5,Georgia,GA,GA-5,D+32,Obama,-67,16,83,Obama,-70,15,84,-32,264.91,2710,0.33370703738108204
716040,76359,508061,99233.0,170192,1044,6,Georgia,GA,GA-6,R+14,Romney,-24,61,37,McCain,-13,59,40,14,298.76,2396,0.7095427629741355
713767,62620,415732,135077.0,156156,1008,7,Georgia,GA,GA-7,R+14,Romney,-22,60,38,McCain,-21,60,39,14,392.61,1818,0.5824477735731688
699934,39310,448765,210768.0,161207,708,8,Georgia,GA,GA-8,R+15,Romney,-24,62,38,McCain,-24,61,38,15,8711.64,80,0.6411533087405384
708866,43823,617181,49840.0,182342,746,9,Georgia,GA,GA-9,R+30,Romney,-58,78,21,McCain,-51,75,24,30,5210.81,136,0.8706596169092607
703566,46336,489631,171888.0,167547,758,10,Georgia,GA,GA-10,R+14,Romney,-26,63,36,McCain,-22,58,41,14,7096.22,99,0.6959276030962269
711409,60277,533327,111419.0,171337,945,11,Georgia,GA,GA-11,R+19,Romney,-35,67,32,McCain,-29,65,34,19,1071.25,664,0.7496770493485463
702920,40117,418584,245365.0,153633,698,12,Georgia,GA,GA-12,R+9,Romney,-12,55,44,McCain,-12,56,44,9,8185.27,85,0.5954930859841803
712229,49626,257388,398073.0,159594,904,13,Georgia,GA,GA-13,D+16,Obama,-39,30,69,Obama,-32,32,68,-16,714.95,996,0.3613837684227966
693997,43155,596182,61401.0,171787,688,14,Georgia,GA,GA-14,R+26,Romney,-48,73,25,McCain,-44,71,28,26,3623.16,191,0.8590555866956198
696072,70989,126209,16158.0,122826,1409,1,Hawaii,HI,HI-1,D+18,Obama,-41,29,70,Obama,-42,28,70,-18,209.22,3326,0.1813160132859819
694276,61796,223984,11288.0,131191,1351,2,Hawaii,HI,HI-2,D+21,Obama,-45,27,71,Obama,-48,25,73,-21,6213.4,111,0.32261521354619777
803330,47111,747905,,209336,748,1,Idaho,ID,ID-1,R+18,Romney,-33,65,32,McCain,-27,63,35,18,39418.02,20,0.9310059377839742
793892,44866,719284,5390.0,191720,698,2,Idaho,ID,ID-2,R+17,Romney,-31,64,33,McCain,-24,61,37,17,43225.09,18,0.9060224816473778
712618,47676,290301,365796.0,159055,886,1,Illinois,IL,IL-1,D+28,Obama,-59,20,79,Obama,-62,19,81,-28,258.38,2758,0.4073725333909612
708298,44316,266958,394079.0,162658,869,2,Illinois,IL,IL-2,D+29,Obama,-62,19,81,Obama,-63,18,81,-29,1080.67,655,0.3769006830458366
716709,60066,552782,32319.0,180979,904,3,Illinois,IL,IL-3,D+5,Obama,-14,43,56,Obama,-18,41,58,-5,237.18,3021,0.7712781617085874
718208,42069,432579,31017.0,98463,866,4,Illinois,IL,IL-4,D+29,Obama,-64,17,81,Obama,-62,18,81,-29,52.45,13693,0.6023032324897523
724545,66581,589359,19160.0,160669,1078,5,Illinois,IL,IL-5,D+16,Obama,-34,32,66,Obama,-41,29,70,-16,95.71,7570,0.813419456348467
721408,89382,613738,19537.0,207975,1130,6,Illinois,IL,IL-6,R+4,Romney,-8,53,45,Obama,-4,48,51,4,378.78,1904,0.8507501996096523
719753,47233,237795,376185.0,116977,1005,7,Illinois,IL,IL-7,D+36,Obama,-76,12,87,Obama,-80,10,90,-36,62.52,11512,0.33038417345950627
720402,63357,498129,36422.0,172773,1036,8,Illinois,IL,IL-8,D+8,Obama,-17,41,58,Obama,-24,37,62,-8,205.52,3505,0.6914597682960347
715178,62127,523104,63740.0,176616,974,9,Illinois,IL,IL-9,D+15,Obama,-32,33,65,Obama,-38,30,69,-15,105.35,6788,0.7314318952764207
712624,68318,544445,48349.0,177717,1025,10,Illinois,IL,IL-10,D+8,Obama,-16,41,58,Obama,-27,36,63,-8,299.78,2377,0.7640003704618424
716438,66806,475652,77397.0,174913,1044,11,Illinois,IL,IL-11,D+8,Obama,-17,41,58,Obama,-24,37,62,-8,280.95,2550,0.6639122994592693
708957,43900,560528,118937.0,190027,694,12,Illinois,IL,IL-12,R+0,Obama,-2,48,50,Obama,-11,44,55,0,5008.21,141,0.790637513981807
715252,46780,588425,80298.0,184041,732,13,Illinois,IL,IL-13,R+0,Romney,0,49,49,Obama,-11,44,55,0,5793.65,123,0.8226820756880092
721517,81374,632568,20860.0,203545,1038,14,Illinois,IL,IL-14,R+5,Romney,-10,54,44,Obama,-3,49,50,5,1597.6,451,0.8767194674553753
708115,46686,657549,30098.0,208503,609,15,Illinois,IL,IL-15,R+14,Romney,-30,64,34,McCain,-13,55,43,14,14695.67,48,0.9285906950142279
706371,53768,642286,27910.0,197894,751,16,Illinois,IL,IL-16,R+4,Romney,-8,53,45,Obama,-2,48,50,4,7917.49,89,0.9092757205491165
708861,42629,585625,79157.0,192897,635,17,Illinois,IL,IL-17,D+7,Obama,-17,41,57,Obama,-22,39,60,-7,6933.08,102,0.8261492732707822
713516,58322,649571,26641.0,211052,677,18,Illinois,IL,IL-18,R+11,Romney,-23,61,37,McCain,-10,54,44,11,10515.95,67,0.9103804259470005
719585,51538,504758,141202.0,188016,792,1,Indiana,IN,IN-1,D+10,Obama,-24,37,61,Obama,-28,36,63,-10,1157.02,621,0.7014570898503999
719832,45073,622620,50003.0,193578,689,2,Indiana,IN,IN-2,R+6,Romney,-14,56,42,Obama,-1,49,50,6,3958.58,181,0.8649518220918214
726471,47661,639993,44527.0,201940,653,3,Indiana,IN,IN-3,R+13,Romney,-27,63,36,McCain,-13,56,43,13,4180.37,173,0.8809615249610789
731304,50652,665323,26308.0,193324,730,4,Indiana,IN,IN-4,R+11,Romney,-24,61,37,McCain,-10,54,45,11,6352.55,115,0.9097762353275792
734988,61047,623830,58767.0,203131,818,5,Indiana,IN,IN-5,R+9,Romney,-17,58,41,McCain,-6,53,47,9,1924.76,381,0.8487621566610611
721048,44994,673753,16510.0,196940,680,6,Indiana,IN,IN-6,R+12,Romney,-23,60,37,McCain,-12,55,44,12,6206.83,116,0.9344079728395336
736200,37867,443918,212347.0,148926,747,7,Indiana,IN,IN-7,D+13,Obama,-28,35,63,Obama,-34,33,66,-13,303.84,2422,0.602985601738658
721929,46160,667696,28430.0,199387,663,8,Indiana,IN,IN-8,R+8,Romney,-19,58,40,McCain,-2,51,48,8,7255.39,99,0.9248776541737483
730316,49426,673321,19341.0,193761,752,9,Indiana,IN,IN-9,R+9,Romney,-17,57,41,McCain,-6,53,46,9,4486.77,162,0.9219584399082041
766577,52197,706117,26248.0,225194,643,1,Iowa,IA,IA-1,D+5,Obama,-14,42,56,Obama,-18,40,58,-5,12048.84,63,0.9211299060629264
769113,49843,698742,28255.0,215334,678,2,Iowa,IA,IA-2,D+4,Obama,-13,43,56,Obama,-16,41,57,-4,12261.92,62,0.9085036919152322
780488,56768,699414,30065.0,217463,755,3,Iowa,IA,IA-3,R+0,Obama,-4,47,51,Obama,-6,46,52,0,8789.62,88,0.8961239634690091
760341,47931,708539,10106.0,222619,608,4,Iowa,IA,IA-4,R+5,Romney,-8,53,45,McCain,-2,50,48,5,22756.75,33,0.9318700425203954
720915,45276,637636,22100.0,183114,652,1,Kansas,KS,KS-1,R+23,Romney,-42,70,28,McCain,-36,67,31,23,52542.5,13,0.884481526948392
714295,47431,627103,31574.0,184895,705,2,Kansas,KS,KS-2,R+8,Romney,-13,55,42,McCain,-8,53,45,8,14143.34,50,0.8779327868737706
731209,64341,597206,64187.0,189203,876,3,Kansas,KS,KS-3,R+6,Romney,-10,54,44,McCain,-1,50,49,6,757.2,965,0.8167377589717851
716547,48808,600031,48886.0,182671,689,4,Kansas,KS,KS-4,R+14,Romney,-26,62,36,McCain,-19,59,40,14,14315.68,50,0.8373923831932867
724590,38025,650418,50528.0,197332,570,1,Kentucky,KY,KY-1,R+18,Romney,-34,66,32,McCain,-25,62,37,18,12079.5,59,0.8976359044425123
734009,44716,659466,41542.0,194260,640,2,Kentucky,KY,KY-2,R+16,Romney,-28,63,35,McCain,-24,62,37,16,7177.44,102,0.8984440245283096
732544,46049,533027,154794.0,182972,723,3,Kentucky,KY,KY-3,D+4,Obama,-13,43,56,Obama,-13,43,56,-4,319.34,2293,0.7276382033024638
733183,54255,677255,25111.0,195298,718,4,Kentucky,KY,KY-4,R+16,Romney,-29,63,35,McCain,-25,62,37,16,4382.19,167,0.9237189078306507
717238,30674,694533,9415.0,198818,537,5,Kentucky,KY,KY-5,R+25,Romney,-52,75,23,McCain,-35,67,32,25,11235.15,63,0.9683438412354058
739071,45022,630253,65584.0,178264,697,6,Kentucky,KY,KY-6,R+9,Romney,-14,56,42,McCain,-9,54,45,9,4292.72,172,0.852763807536759
769630,53066,618092,98939.0,201208,897,1,Louisiana,LA,LA-1,R+26,Romney,-44,71,27,McCain,-48,73,25,26,4030.23,190,0.8031027896521705
772514,35423,242274,481938.0,159583,834,2,Louisiana,LA,LA-2,D+23,Obama,-53,23,76,Obama,-48,26,74,-23,1268.48,609,0.3136176172859003
764129,44650,540440,186925.0,200324,692,3,Louisiana,LA,LA-3,R+19,Romney,-34,66,32,McCain,-31,64,34,19,6983.32,109,0.7072627789286887
