Sta,CD,label,pvi,Winner12,Margin12,Romney12,Obama12,Winner08,Margin08,McCain08,Obama08
IL,1,IL-1,D+28,Obama,-59,20,79,Obama,-62,19,81
IL,10,IL-10,D+8,Obama,-16,41,58,Obama,-27,36,63
IL,11,IL-11,D+8,Obama,-17,41,58,Obama,-24,37,62
IL,12,IL-12,R+0,Obama,-2,48,50,Obama,-11,44,55
IL,13,IL-13,R+0,Romney,0,49,49,Obama,-11,44,55
IL,14,IL-14,R+5,Romney,-10,54,44,Obama,-3,49,50
IL,15,IL-15,R+14,Romney,-30,64,34,McCain,-13,55,43
IL,16,IL-16,R+4,Romney,-8,53,45,Obama,-2,48,50
IL,17,IL-17,D+7,Obama,-17,41,57,Obama,-22,39,60
IL,18,IL-18,R+11,Romney,-23,61,37,McCain,-10,54,44
IL,2,IL-2,D+29,Obama,-62,19,81,Obama,-63,18,81
IL,3,IL-3,D+5,Obama,-14,43,56,Obama,-18,41,58
IL,4,IL-4,D+29,Obama,-64,17,81,Obama,-62,18,81
IL,5,IL-5,D+16,Obama,-34,32,66,Obama,-41,29,70
IL,6,IL-6,R+4,Romney,-8,53,45,Obama,-4,48,51
IL,7,IL-7,D+36,Obama,-76,12,87,Obama,-80,10,90
IL,8,IL-8,D+8,Obama,-17,41,58,Obama,-24,37,62
IL,9,IL-9,D+15,Obama,-32,33,65,Obama,-38,30,69
IN,1,IN-1,D+10,Obama,-24,37,61,Obama,-28,36,63
IN,2,IN-2,R+6,Romney,-14,56,42,Obama,-1,49,50
IN,3,IN-3,R+13,Romney,-27,63,36,McCain,-13,56,43
IN,4,IN-4,R+11,Romney,-24,61,37,McCain,-10,54,45
IN,5,IN-5,R+9,Romney,-17,58,41,McCain,-6,53,47
IN,6,IN-6,R+12,Romney,-23,60,37,McCain,-12,55,44
IN,7,IN-7,D+13,Obama,-28,35,63,Obama,-34,33,66
IN,8,IN-8,R+8,Romney,-19,58,40,McCain,-2,51,48
IN,9,IN-9,R+9,Romney,-17,57,41,McCain,-6,53,46
KS,1,KS-1,R+23,Romney,-42,70,28,McCain,-36,67,31
KS,2,KS-2,R+8,Romney,-13,55,42,McCain,-8,53,45
KS,3,KS-3,R+6,Romney,-10,54,44,McCain,-1,50,49
KS,4,KS-4,R+14,Romney,-26,62,36,McCain,-19,59,40
KY,1,KY-1,R+18,Romney,-34,66,32,McCain,-25,62,37
KY,2,KY-2,R+16,Romney,-28,63,35,McCain,-24,62,37
KY,3,KY-3,D+4,Obama,-13,43,56,Obama,-13,43,56
KY,4,KY-4,R+16,Romney,-29,63,35,McCain,-25,62,37
KY,5,KY-5,R+25,Romney,-52,75,23,McCain,-35,67,32
KY,6,KY-6,R+9,Romney,-14,56,42,McCain,-9,54,45
LA,1,LA-1,R+26,Romney,-44,71,27,McCain,-48,73,25
LA,2,LA-2,D+23,Obama,-53,23,76,Obama,-48,26,74
LA,3,LA-3,R+19,Romney,-34,66,32,McCain,-31,64,34
LA,4,LA-4,R+13,Romney,-19,59,40,McCain,-19,59,40
LA,5,LA-5,R+15,Romney,-23,61,38,McCain,-25,62,37
LA,6,LA-6,R+21,Romney,-34,66,32,McCain,-37,68,31
MA,1,MA-1,D+13,Obama,-30,34,64,Obama,-32,34,64
MA,2,MA-2,D+8,Obama,-20,39,59,Obama,-23,37,60
MA,3,MA-3,D+6,Obama,-16,41,57,Obama,-19,39,58
MA,4,MA-4,D+6,Obama,-16,41,57,Obama,-23,39,58
MA,5,MA-5,D+14,Obama,-32,33,65,Obama,-33,32,66
MA,6,MA-6,D+4,Obama,-11,44,55,Obama,-15,42,56
MA,7,MA-7,D+31,Obama,-67,16,82,Obama,-65,16,82
