label,year,dem_cand,dem_per,gop_cand,gop_per
LA-4,2012,None,0,Fleming,75.3
LA-5,2012,None,0,Alexander,77.8
LA-6,2012,None,0,Cassidy,79.4
MA-1,2012,Neal,100,None,0
MA-2,2012,McGovern,100,None,0
MA-3,2012,Tsongas,65.9,Golnik,34.1
MA-4,2012,Kennedy,61.1,Bielat,36
MA-5,2012,Markey,75.5,Tierney,24.5
MA-6,2012,Tierney,48.3,Tisei,47.3
MA-7,2012,Capuano,83.6,None,0
MA-8,2012,Lynch,76.3,Selvaggi,23.7
MA-9,2012,Keating,58.7,Sheldon,32.2
MD-1,2012,Rosen,28.5,Harris,67.5
MD-2,2012,Ruppersberger,65.5,Jacobs,31.4
MD-3,2012,Sarbanes,66.6,Knowles,29.8
MD-4,2012,Edwards,77.1,Loudon,20.9
MD-5,2012,Hoyer,62.2,O'Donnell,35.2
MD-6,2012,Delaney,58.6,Bartlett,38.1
MD-7,2012,Cummings,76.3,Mirabile,21.1
MD-8,2012,Van Hollen,62.5,Timmerman,33.9
ME-1,2012,Pingree,64.7,Courtney,35.3
ME-2,2012,Michaud,58.1,Raye,41.9
MI-1,2012,McDowell,47.5,Benishek,48.2
MI-10,2012,Stadler,29.8,Miller,68.7
MI-11,2012,Taj,44.4,Bentivolio,50.8
MI-12,2012,Dingell,67.9,Kallgren,29
MI-13,2012,Conyers,82.8,Sawicki,13.6
MI-14,2012,Peters,82.2,Hauler,15.6
MI-2,2012,German,34.3,Huizenga,61.1
MI-3,2012,Pestka,44.1,Amash,52.7
MI-4,2012,Freidell Wirth,33.5,Camp,63.1
MI-5,2012,Kildee,65,Slezak,31.4
MI-6,2012,O'Brien,42.7,Upton,54.5
MI-7,2012,Haskell,43,Walberg,53.3
MI-8,2012,Enderle,37.3,Rogers,58.6
MI-9,2012,Levin,61.9,Volaric,34
MN-1,2012,Walz,57.6,Quist,42.4
MN-2,2012,Obermueller,45.9,Kline,54.1
MN-3,2012,Barnes,41.8,Paulsen,58.2
MN-4,2012,McCollum,62.4,Hernandez,31.6
MN-5,2012,Ellison,74.7,Fields,25.3
MN-6,2012,Graves,49.4,Bachmann,50.6
MN-7,2012,Peterson,60.4,Byberg,34.9
MN-8,2012,Nolan,54.5,Cravaack,45.5
MO-1,2012,Clay,78.6,Hamlin,17.9
MO-2,2012,Koenen,37.1,Wagner,60.1
MO-3,2012,Mayer,32.9,Luetkemeyer,63.5
MO-4,2012,Hensley,35.5,Hartzler,60.3
MO-5,2012,Cleaver,60.2,Turk,37.2
MO-6,2012,Yarber,32.5,Graves,65
MO-7,2012,Evans,30.9,Long,63.9
MO-8,2012,Rushin,24.6,Emerson,71.9
MS-1,2012,Morris,36.7,Nunnelee,60.7
MS-2,2012,Thompson,67.4,Marcy,30.7
MS-3,2012,None,0,Harper,80.1
MS-4,2012,Moore,28.5,Palazzo,64.3
MT-1,2012,Gillan,42.9,Daines,53.2
NC-1,2012,Butterfield,75.2,DiLauro,23
NC-10,2012,Keever,43,McHenry,57
NC-11,2012,Rogers,42.6,Meadows,57.4
NC-12,2012,Watt,79.7,Brosch,20.3
NC-13,2012,Malone,42.9,Holding,57.1
NC-2,2012,Wilkins,41.4,Ellmers,55.9
NC-3,2012,Anderson,36.8,Jones,63.2
NC-4,2012,Price,74.4,D'Annunzio,25.6
NC-5,2012,Motsinger,42.5,Foxx,57.5
NC-6,2012,Foriest,39.1,Coble,60.9
NC-7,2012,McIntyre,50.1,Rouzer,49.9
NC-8,2012,Kissell,45.9,Hudson,54.1
NC-9,2012,Roberts,45.7,Pittenger,51.8
ND-1,2012,Gulleson,41.8,Cramer,55
NE-1,2012,Reiman,31.5,Fortenberry,68.5
NE-2,2012,Ewing,48.8,Terry,51.2
NE-3,2012,Sullivan,25.8,Smith,74.2
NH-1,2012,Shea-Porter,49.7,Guinta,46
NH-2,2012,Kuster,50.2,Bass,45.1
NJ-1,2012,Andrews,67.9,Horton,30.3
NJ-10,2012,Payne Jr. ,87.3,Kelemen,10.8
NJ-11,2012,Arvanites,40,Frelinghuysen,58.9
NJ-12,2012,Holt,68.9,Beck,29.9
NJ-2,2012,Shober,40,LoBiondo,58
NJ-3,2012,Adler,44.8,Runyan,53.8
NJ-4,2012,Froelich,31,Smith,68
NJ-5,2012,Gussen,42.4,Garrett,55.5
NJ-6,2012,Pallone,63.3,Little,35.3
NJ-7,2012,Chivukula,39.9,Lance,57.4
NJ-8,2012,Sires,78.1,Karczewski,18.9
NJ-9,2012,Pascrell,73.6,Boteach,25.4
NM-1,2012,Lujan Grisham,59.1,Arnold-Jones,40.9
NM-2,2012,Erhard,40.9,Pearce,59.1
NM-3,2012,Lujan,63,Byrd,37
NV-1,2012,Titus,63.5,Edwards,31.6
NV-2,2012,Koepnick,36.2,Amodei,57.7
NV-3,2012,Oceguera,42.8,Heck,50.4
NV-4,2012,Horsford,50.1,Tarkanian,42.2
NY-1,2012,Bishop,52.2,Altschuler,47.8
NY-10,2012,Nadler,80.7,Chan,19.3
NY-11,2012,Murphy,46.2,Grimm,52.8
NY-12,2012,Maloney,80.9,Wight,19.1
NY-13,2012,Rangel,90.8,Schley,6.3
NY-14,2012,Crowley,83,Gibbons,15.3
NY-15,2012,Serrano,97.1,Della Valle,2.9
NY-16,2012,Engel,77.5,McLaughlin,21.4
NY-17,2012,Lowey,64.2,Carvin,34.8
NY-18,2012,Maloney,51.7,Hayworth,48.3
NY-19,2012,Schreibman,46.5,Gibson,53.5
NY-2,2012,Falcone,41.3,King,58.7
NY-20,2012,Tonko,68.4,Dieterich,31.6
NY-21,2012,Owens,50.3,Doheny,48.1
NY-22,2012,Lamb,39.1,Hanna,60.9
NY-23,2012,Shinagawa,48.1,Reed,51.9
NY-24,2012,Maffei,48.4,Buerkle,43.8
NY-25,2012,Slaughter,57.2,Brooks,42.8
NY-26,2012,Higgins,74.6,Madigan,25.4
NY-27,2012,Hochul,49.3,Collins,50.7
NY-3,2012,Israel,57.5,Labate,41.7
NY-4,2012,McCarthy,61.7,Becker,32.4
NY-5,2012,Meeks,89.7,Jennings,9.6
NY-6,2012,Meng,67.7,Halloran,31.2
NY-7,2012,Velazquez,94.5,None,0
NY-8,2012,Jeffries,90,Bellone,8.8
NY-9,2012,Clarke,87,Cavanagh,11.6
OH-1,2012,Sinnard,37.1,Chabot,58.3
OH-10,2012,Swartz Neuhardt,36.9,Turner,60.2
OH-11,2012,Fudge,100,None,0
OH-12,2012,Reese,36.3,Tiberi,63.7
OH-13,2012,Ryan,72.5,Agana,27.5
OH-14,2012,Blanchard,38.5,Joyce,54.3
OH-15,2012,Lang,38.2,Stivers,61.8
OH-16,2012,Sutton,47.8,Renacci,52.2
OH-2,2012,Smith,40.9,Wenstrup,59.1
OH-3,2012,Beatty,67.8,Long,26.9
OH-4,2012,Slone,36.2,Jordan,58.7
OH-5,2012,Zimmann,38.9,Latta,57.6
OH-6,2012,Wilson,46.6,Johnson,53.4
OH-7,2012,Healy-Abrams,43.3,Gibbs,56.7
OH-8,2012,None,0,Boehner,100
OH-9,2012,Kaptur,72.6,Wurzelbacher,23.5
OK-1,2012,Olson,32,Bridenstine,63.5
OK-2,2012,Wallace,38.3,Mullin,57.3
OK-3,2012,Murray,20,Lucas,75.3
OK-4,2012,Bebo,27.6,Cole,67.9
OK-5,2012,Guild,37.3,Lankford,58.7
OR-1,2012,Bonamici,59.7,Morgan,33.1
OR-2,2012,Segers,29,Walden,69
