population,income,popwhite,popblack,homeval,rentval,district,statefull
724109,45313,560543,123155,182723,733,10,Ohio
704662,32963,284118,379203,151714,687,11,Ohio
737402,62771,656078,32047,202511,810,12,Ohio
721145,40827,604970,81390,191791,661,13,Ohio
718754,59043,659448,30479,215753,805,14,Ohio
732459,54676,668773,25832,188566,796,15,Ohio
721968,59778,677484,14561,213049,778,16,Ohio
766928,48846,559451,66579,190171,746,1,Oklahoma
747975,38072,504980,26352,203713,598,2,Oklahoma
760974,46575,609143,28137,197502,647,3,Oklahoma
769283,49341,594577,50585,190509,744,4,Oklahoma
772136,43964,535392,103653,176819,736,5,Oklahoma
786911,61643,635363,12658,182694,971,1,Oregon
773472,42658,699608,4695,193539,796,2,Oregon
787831,52220,627148,41659,174978,917,3,Oregon
771311,41651,693660,6157,191313,812,4,Oregon
779741,52258,667701,6346,183798,869,5,Oregon
704351,38789,332133,247598,142275,910,1,Pennsylvania
718235,35300,226319,422497,135882,891,2,Pennsylvania
703321,46195,648187,32784,202191,640,3,Pennsylvania
710769,56264,607817,54661,196642,823,4,Pennsylvania
704890,45222,664076,16038,196250,672,5,Pennsylvania
720817,72491,633322,30817,203233,1052,6,Pennsylvania
710660,77914,626960,38631,200963,1079,7,Pennsylvania
707648,75305,630139,26168,200553,1101,8,Pennsylvania
705006,44621,666757,21230,203260,639,9,Pennsylvania
709274,48731,663425,23373,203205,710,10,Pennsylvania
703412,50502,629880,35690,198890,736,11,Pennsylvania
703325,54597,656784,22146,221863,674,12,Pennsylvania
717729,55533,472840,132594,171145,976,13,Pennsylvania
706047,40622,510295,150797,172914,716,14,Pennsylvania
715255,56710,610644,33918,190644,886,15,Pennsylvania
710118,52450,589403,45601,172942,862,16,Pennsylvania
701112,47403,619591,42065,187701,725,17,Pennsylvania
707890,58364,664570,17089,219504,732,18,Pennsylvania
527461,51564,410579,46082,113928,877,1,Rhode Island
523261,60624,442804,21017,133298,944,2,Rhode Island
693096,57303,515602,132677,182362,1006,1,South Carolina
672944,52205,475447,157973,187228,812,2,South Carolina
664638,40362,514177,121588,179913,662,3,South Carolina
677291,45835,506600,131092,169016,730,4,South Carolina
672257,43352,459876,181535,180252,704,5,South Carolina
672033,33079,256427,382703,145468,750,6,South Carolina
671664,38107,443375,197833,178002,715,7,South Carolina
834236,49332,711932,12513,220794,644,1,South Dakota
708481,37834,667586,15354,205010,618,1,Tennessee
716280,45526,639744,47012,194690,755,2,Tennessee
715497,41081,611173,78056,193984,688,3,Tennessee
721027,45301,623427,58524,187173,710,4,Tennessee
726782,45938,473537,182249,160484,833,5,Tennessee
719260,44306,662156,30795,200695,693,6,Tennessee
722803,49197,611664,71652,190012,749,7,Tennessee
706539,51352,538963,137403,190569,684,8,Tennessee
713085,36691,199998,462105,132759,820,9,Tennessee
707759,43231,545759,127408,171246,743,1,Texas
730716,70444,523469,77776,161186,984,2,Texas
744450,83221,542336,64908,172603,1072,3,Texas
708532,46908,579147,76957,183523,729,4,Texas
718316,44318,540283,102312,157311,789,5,Texas
727566,58915,505651,141182,169037,883,6,Texas
728070,66523,489252,94563,147174,993,7,Texas
742426,60251,617647,62804,179358,914,8,Texas
719126,41470,275893,275352,117968,816,9,Texas
726353,62289,557209,74356,174848,933,10,Texas
718152,48543,627718,27731,179673,774,11,Texas
723781,58596,590686,58203,166625,885,12,Texas
700518,46860,604864,37841,174973,702,13,Texas
709301,52412,509156,142471,171941,799,14,Texas
724868,39266,650276,13675,142655,671,15,Texas
720643,42048,593800,27908,138047,746,16,Texas
717600,45024,540260,93760,146648,842,17,Texas
727976,39432,336416,282010,119981,795,18,Texas
710487,43821,589768,43656,158231,733,19,Texas
730585,45169,570906,36209,136485,817,20,Texas
733852,59997,637852,24659,172801,961,21,Texas
753155,85106,475030,97690,182359,1038,22,Texas
717171,47996,603885,20310,160007,738,23,Texas
730210,62600,494900,78936,143843,924,24,Texas
726962,59597,614119,53474,173329,933,25,Texas
745740,78457,603568,52018,177084,1006,26,Texas
707737,48082,597629,39311,161303,799,27,Texas
724133,42748,631909,30791,145345,756,28,Texas
716620,36813,508670,73322,108005,739,29,Texas
723640,41496,314181,322676,131597,859,30,Texas
742564,61563,572277,84146,160073,937,31,Texas
721770,62062,456621,88775,156312,950,32,Texas
709378,34395,462467,112948,104473,741,33,Texas
712561,34347,642435,10351,140587,639,34,Texas
736986,39450,522687,71516,124566,836,35,Texas
710267,53344,568760,68053,181686,808,36,Texas
709157,59082,633211,7766,165183,799,1,Utah
709305,52766,611070,9459,155550,815,2,Utah
712146,62195,647003,3912,144108,883,3,Utah
726231,60377,621084,10941,154348,951,4,Utah
626303,53853,595516,6232,182581,871,1,Vermont
751432,76044,552064,129800,192742,1214,1,Virginia
726166,59963,489499,157310,166412,1125,2,Virginia
745074,40424,264509,427491,137437,891,3,Virginia
738953,60792,456305,234253,185162,1004,4,Virginia
728231,47800,546517,147243,202886,773,5,Virginia
735731,47086,619366,78992,192707,759,6,Virginia
745462,70048,571591,108197,203231,1065,7,Virginia
760961,95687,484434,106278,155422,1641,8,Virginia
723948,38372,661918,39264,205292,626,9,Virginia
765146,110981,562905,53617,196324,1447,10,Virginia
763195,101433,462684,98184,170445,1677,11,Virginia
696870,79316,570173,8417,184858,1232,1,Washington
685639,56810,551799,18042,158990,1027,2,Washington
685541,52324,597775,10694,168910,883,3,Washington
692926,49002,514524,7873,150227,750,4,Washington
679793,46356,605053,11768,169497,743,5,Washington
682733,53880,558054,24701,177137,927,6,Washington
694877,66518,529436,33380,156711,1113,7,Washington
690317,70526,555217,17693,180432,1049,8,Washington
697816,62487,391595,75879,142188,1091,9,Washington
689559,56368,520470,41509,154204,989,10,Washington
618410,40662,587035,14290,173081,601,1,West Virginia
624214,44750,575821,21853,181570,677,2,West Virginia
612768,36754,574860,22774,181231,584,3,West Virginia
713079,57790,631321,38595,192673,830,1,Wisconsin
728000,57143,636632,31838,185951,857,2,Wisconsin
712595,48288,671583,7447,195426,688,3,Wisconsin
715738,37671,382132,243442,127614,770,4,Wisconsin
714788,62633,663317,12405,202039,844,5,Wisconsin
710274,52617,663196,10431,204030,679,6,Wisconsin
712153,47416,668591,5047,221133,660,7,Wisconsin
718725,53118,654296,9617,208337,683,8,Wisconsin
575535,57197,522569,5788,154985,769,1,Wyoming
